필명,작품제목,응모분야,좋아요 수
개구리,구상과 구성,산문,5
명,서울역의 비둘기,운문,8
명,순애(哀)보 ,운문,3
개구리,"1711 Hume Road, 자아의 집",산문,10
결,물듦,운문,18
이기범,절,운문,7
이기범,익사,운문,4
청포도,기억의 각인,운문,8
청포도,닫아걸음,운문,8
미인,가식,운문,13
미인,엄선,운문,11
쌀밥,식는 중...,산문,16
금반지,아르바이트생,산문,6
입력필명,小'說,산문,6
9등급의 반란,달이 된 아이,산문,19
현,청금석(靑金石),운문,2
이삼,유성,운문,3
이삼,거울,운문,4
로맹가리,어떤 비밀,산문,21
피자나라 치킨공주,어머니의 뒷모습,운문,4
피자나라 치킨공주,포도의 속마음,운문,3
설화,마음의 책갈피,운문,14
설화,별과 같은 사람이 되어야지,운문,24
건포도 위,처음의 끝,운문,8
건포도 위,바람이 불어 오는 곳,운문,5
설화,"노력하는 소녀, 별빛 아래에 소년",산문,14
예감치즈그라탕맛,부모,운문,3
예감치즈그라탕맛,액자,운문,3
서정우,"큰 꿈, 큰 별",운문,16
서정우,나는 오늘도 걷는다,운문,13
이삼,여름앓이,산문,5
라온,익애 (溺愛),산문,2
봄눈,낙화(落花）,운문,10
봄눈,개미,운문,4
나,여느 날,운문,3
모르는 사람,장미의 이름,운문,1
모르는 사람,담배,운문,4
나,유물 한 짝,운문,3
박성현,문학 남자,산문,4
우무문어,불행은 금붕어의 얼굴을 하고 찾아온다,산문,17
텀블러,"진달래, 진딧물",산문,11
낯가리는 밤,김밥,운문,8
낯가리는 밤,대나무,운문,4
갈애,규화(葵花),운문,5
우무문어,사의찬미,운문,5
우무문어,스테디셀러,운문,8
갈애,임(林)에게,운문,8
봄날처럼,한착(恨着),운문,3
봄날처럼,諸行無常,운문,4
수풀,닿지 못한 편지,운문,7
수풀,투명,운문,6
이봄,검은머리흰죽지,운문,6
잉,iCloud에 백업할 수 없음,운문,21
며루치,중심잡기,운문,4
며루치,제육대회,운문,8
러시안블루,너나들이,운문,4
러시안블루,가닿다,운문,7
헤일로,이상(理想)한 비상,운문,5
헤일로,하늘에 수놓은 자수란 이토록 찬란한가,운문,7
이기범,자세,운문,3
이기범,동행,운문,5
만인의 지인,<인사>,운문,32
만인의 지인,<한마디>,운문,26
9등급의 반란,서화(徐化),산문,20
강아무개,1편 연필,운문,4
랏소,"당연했음에도, 당연하지 않은 것",운문,4
tls123,순간(瞬間),운문,8
tls123,돌아오지 못할 여행,운문,7
tls123,어머니 꿈,운문,10
tls123,파란(波瀾),운문,10
라온하제,연고,산문,7
랏소,낙서,운문,3
깜장나무,청춘 팽창,운문,9
깜장나무,4월의 어느 날,운문,8
다만세,화자의 원무곡,산문,8
운무,환상의 문턱에서,산문,7
옥수수의계절,잠시 머문,운문,6
잉,낙관적 허무주의,운문,4
마음소리,SKY,운문,1
마음소리,마음,운문,3
옥수수의계절,초여름 낭만주의,운문,6
익명,부재,운문,7
익명,사계,운문,5
조왈왈,특별함을 닮는 법,산문,5
구운감자,가려진 것들,운문,2
구운감자,비 내리는 봄날,운문,3
복숭아나무,뭍에서의 익사,운문,5
복숭아나무,마트료시카,운문,2
초보,고슴도치의 꿈,산문,4
슈의 라면가게,사계절의 끝,운문,5
슈의 라면가게,엔딩 크레딧,운문,9
완두,동행,산문,5
백도,연시,운문,4
완두,일상적 일상,산문,5
봄,비상(飛翔),산문,5
🍀,한탄,운문,2
🍀,발아(發芽),운문,1
클로버,엄마와 딸,운문,3
클로버,"마라톤 같은 인생, 나답게 달리다",운문,3
안다미로,『그 별은 나를 모르지만』,산문,29
토마토,사랑에,운문,2
방황자,순빛 세상.,운문,6
방황자,죽음은 나를 살리지 못했다 ,운문,6
여운,무명,운문,7
토마토,영원,운문,1
이방인,매미,운문,3
잠깐여기앉아봐,토마토 혐오증,운문,20
조경준,무제(無題),운문,8
잠깐여기앉아봐,아무것도 남기지 못하고 아무 의미도 담지 못한 나에게.,운문,13
조경준,벗(友),운문,3
이방인,개미,운문,1
정,"위로 하나, 공감 둘",산문,2
이음,밤하늘을 품는다는 것,운문,6
이음,삼성고,운문,6
잔향,유리,산문,16
물개,서툰 해바라기,운문,1
데이지,물방울처럼,운문,9
min,침원(沈園),운문,4
물개,유리성,운문,1
잠깐여기앉아봐,하얗게 남기는 마지막 발자국에게,산문,48
청보리차,노란 불빛,운문,2
min,비가 오는 날,운문,1
데이지,유리병 편지,운문,13
서담,시계 앞에서,운문,4
서담,빨간 펜,운문,4
설아,화양연화 아니겠는가,운문,3
솔,빚어진 마음,산문,10
순두부찌개,호수 위 달 그림자,산문,10
초연,초심,운문,5
대추,수매씽과 고쟁이,운문,17
여운,가방의 무게,운문,5
대추,겨울,운문,7
초연,답답해,운문,3
사별콤,삼성통곡,운문,189
초등학교 10학년,원시별,운문,4
사별콤,"눈, 발자욱",운문,8
초등학교 10학년,"어린, 눈",운문,7
나태한 햇빛,마라톤,운문,2
미인,들림이 들려와,산문,15
나태한 햇빛,"사계, 그 풍경",운문,1
오리온자리,인생이라는 곡선 f(x),운문,12
오리온자리,주변서적들,운문,9
청보리차,기대한다는 것,운문,3
갤럭시 유저,기도,운문,3
갤럭시 유저,극한,운문,3
교주,푸른 종소리,운문,5
우유,독백의 밤,운문,13
이불,노을,운문,3
강혜혁,"마커; 여름, 별 그리고 뼈",산문,13
우유,정(情),운문,14
설아,훗날 우린,운문,4
교주,검고 희다,운문,3
고슴도치,침묵과 외침의 경계선,산문,5
백일홍,찰나,운문,7
온담,우리는 푸른 별을 기다린다,산문,13
청오,꽃,운문,3
작은사인,우경(雨景),운문,2
온담,선글라스 쓴 감자,운문,4
청오,갯벌,운문,1
백일홍,기후,운문,6
1.2,보슬비인 줄 알았던 것이다,운문,6
퐁퐁,색맹,운문,6
퐁퐁,농인,운문,3
JH,생명,운문,3
정공도리,뒤안길을 끌어안길,산문,10
JH,우연의 운명,운문,4
이불,청춘의 길,운문,3
여우비,추연문 (追戀文),운문,4
메롱,걸리버 여행기 챕터 5,산문,4
1.2,운회,운문,3
결,혜(暳),운문,13
손라망,아직도 부산의 여름을 좋아하세요?,운문,47
목이 긴 기린,변화,운문,4
목이 긴 기린,이별,운문,1
여우비,,운문,0
아나,하얀 가지 끝,운문,2
아나,솜사탕,운문,4
온담,석별(惜別),운문,6
손라망,"호프집, 싯다운 코메디",운문,61
여우비,아쥬레블루,운문,5
여우비,,운문,0
이클립스,점이 찍힐 때,운문,8
시월,고비(高飛)에서는,운문,3
이클립스,모닝스파크,운문,14
달,그대들의 달,운문,4
달,문학은 무엇일까?,운문,6
작은사인,아기들은 꿈을 꾸리라...,운문,3
오월오일,잊힌 이름의 온도,운문,3
오월오일,끝나지 않는 이야기,산문,2
초과,경우,운문,2
초과,돌,운문,4
영원,콘센트,운문,5
영원,짝사랑,운문,6
금반지,먹이사슬,운문,5
금반지,그리다,운문,3
RTS,너클볼,운문,4
RTS,가시옵니까,운문,1
아이스크림,내 청춘은 푸르지 않았다,운문,23
아이스크림,청춘일기,운문,15
오월오일,너는 아직 내 안에서,운문,5
백여울(白汝蔚),스물 다섯시의 최종 열차.,산문,5
김의진,국어 모고 맨날 2등급만 맞는사람-회상,운문,4
하리,몽상,운문,7
하리,바람은 마음으로 부터,운문,6
김치찌개,세모,운문,1
김치찌개,여름,운문,1
바다조약,"살살, 다시 가을",운문,5
바다조약,기억의 방,운문,5
더본코리아,암처심명(暗處尋明),운문,1
브라키오사우르스,부끄러움,운문,2
고슴도치,지도 없는 길,운문,2
고슴도치,잔류(殘留),운문,2
나뭇잎,사계절,운문,4
나뭇잎,아이 같은 그녀,운문,2
이봄,조금 늦은 찬란함,운문,6
햄북스딱스,푸를 청이 아닌 여름,운문,3
0.618,실패,운문,41
양송이버섯스프,『시내에서 그린 그림』,산문,4
햄북스딱스,그 해 오월애,운문,4
안녀엉,이유,운문,3
나는까시롱,우리 사회,운문,1
비밀의 고양이 요정,푸름 위 고양이,운문,3
밤양갱,나의 봄,운문,2
🐰,따뜻한 말,운문,2
나는까시롱,균형,운문,2
책과 선비,공허,운문,2
햄북스딱스,사랑과 재채기와 같아서 ,운문,2
햄북스딱스,무제,운문,3
0.618, 단짝,운문,12
🐰,여행,운문,2
비밀의 고양이 요정,날고양이,운문,2
달평이,스승,운문,2
달평이,인공지능,운문,0
Siuu,새벽,운문,0
쓱싹,별,운문,3
Siuu,텅 빈 놀이터의 오후,운문,1
쓱싹,속도,운문,5
강아지똥,내 순수에게,운문,1
강아무개,2편 지우개,운문,1
김의진,국어 모고 맨날 2등급만 맞는사람-잔월,운문,5
안녀엉,가을에 기대어,운문,3
김불이,잠시였던 모든 것들에게,산문,9
Binhan,비상,운문,1
Binhan,대물림,운문,1
y,동면,운문,3
Asdf,질식,운문,5
백도,꽃가루 알러지,운문,3
1864,몽중화(夢中花),운문,3
1864,청(青),운문,2
비담,수학,운문,1
형빈,"아빠,아버지",운문,3
이슬,상사화(相思花),운문,6
이슬,불,운문,5
화백,-별,운문,3
화백,오늘의 뉴스,운문,5
형빈,"아들,아버지",운문,1
Asdf,실끝,운문,3
신조우사사게요,운명론,산문,7
두부,길고양이,운문,3
온니유,사라진 찬란함,운문,6
정개,"78세, 효선씨",산문,27
다다디,뿌리가 깊다면 뽑히지 않는다,운문,6
다다디,구름은 드리우는데,운문,8
온니유,불꽃놀이,운문,9
두부,정(靜),운문,2
초콜릿,꿈으로 가는 길,운문,2
나무,마리오네뜨와 거울,운문,5
나무,사람이 꿈이 된다면,운문,2
초콜릿,모래,운문,2
화백,초록의 바다,산문,4
색깔놀이,색깔놀이,운문,2
색깔놀이,야경,운문,6
이모저모,우수(雨水),운문,7
이모저모,이상기후,운문,7
나태한 거북이,살인의 기쁨,운문,7
나태한 거북이,가늠되지 않는 깊이,운문,5
하얀 주름,바다 위 표류자,운문,8
여름정,404호의 편지,운문,10
망고요거트스무디,닭장 안에서,산문,7
필명,중간고사,운문,8
맹고,"천둥,번개",운문,3
하얀 주름,여름에 쓰인 시,운문,8
강아지똥,행복총량법칙,운문,3
밤양갱,우리는 아직 이름없는 계절에,운문,2
하하,끝없는 길,운문,3
하하,희망,운문,2
바람,사랑화(思郞化),운문,2
바람,책임전가,운문,3
필명,-에게,운문,5
책과 선비,거짓,운문,2
황보상림,졸음,운문,8
황보상림,영혼의 메마름,운문,5
나태한 거북이,월식,운문,5
Y,우리 서로 도망치니까,산문,5
나태한 거북이,반백 년 한 청광에,운문,6
여름정,물의 기억,운문,8
수상한 샌드위치,나의 66일의 결말,운문,6
강아지똥,너의 여름은,운문,1
강아지똥,젊은 여름에 오월을 선물해보았다,운문,1
올롤롤롤롤롤ㄹ,큰사이언,운문,2
올롤롤롤롤롤ㄹ,아낌없이 빼앗긴 나무,운문,3
김이령,편지,운문,4
김이령,부생(浮生),운문,2
수상한 샌드위치,내가 사랑하는 콧수염 아저씨,운문,9
강혜혁,색깔 비린내,운문,11
강혜혁,주문하신 종말 나왔습니다,운문,6
삼성씹어먹음,우산,산문,22
김이령,종이 배,운문,3
빈,윤슬,운문,4
BK,바다,운문,3
복쑹아,파도,운문,2
박서현,열기,운문,3
김이령,이방인(異邦人),운문,5
박서현,따뜻한,운문,4
클라리넷,소실 소실점,운문,2
qq,시뮬레이션 우주 탐구일지,산문,10
허민영,행복은 계산되지 않는다,산문,12
얼음,봄,운문,5
비담,내가 한 말은 안아파요,운문,1
얼음,마이크와 이크,운문,25
더본코리아,비,운문,2
현,소원,운문,3
포도,시린 봄밤의 꿈,운문,6
클라리넷,순환 자전거,운문,3
현,ErrOr coDe,운문,4
현,거울,운문,2
Algedi,별이 사랑한 이방인에게,운문,5
복쑹아,별,운문,3
맹고,열매의 결실,운문,3
마구마구,종전,운문,3
포도,천도제(遷度祭),운문,1
마구마구,상실의 정체,운문,2
Algedi,빈둥지,운문,1
도토리,어디에 와 있는가,운문,1
고래밥,보잘것없는 양심을 위해,운문,2
빈,어떤 꽃이 되어,운문,14
고래밥,동백꽃,운문,3
김현수,봄눈,운문,3
김현수,아는 것들,운문,2
ovo,되풀이,운문,2
ovo,모래알,운문,2
도토리,"별과 빛, 그리고",운문,2
BK,물고기,운문,4
응애내가신생아,침묵,운문,10
Y,유기,운문,3
응애내가신생아,실,운문,7
참치맛호두,끝나지 않은 꿈,운문,2
참치맛호두,독서 미식회,운문,3
Y,기대,운문,1
우히히,결국의 결말,운문,4
아야,기식(寄食),운문,5
아야,호두까기 인형,운문,5
우히히,소원,운문,2
단청,그래도 여전히 나는 네 곁을 멤돈다,운문,3
소희,환로,산문,4
단청,그래도 여전히 나는 네 곁을 멤돈다,운문,3
순자,김희승,산문,5
탕수육,순응(順膺),운문,6
선가론,지루하게 푸르다,운문,3
잠이 와요,강점으로 살아가기,운문,1
감자싹,날으는 베타(Betta).,산문,2
아비뇽 유수,시험,운문,7
나머지,누나야 고마 해라,산문,10
아비뇽 유수,처음처럼,운문,12
선가론,시야,운문,5
잠이 와요,래미안,운문,1
c,빛의 속도 C,운문,3
키위바라,윤슬,운문,1
도담이,천지인(天地人),운문,3
시월,외로움이 길을 물을 때,운문,2
탕수육,잃어버린 것들에 대하여,운문,5
권한대행,해바라기,운문,5
온다정,宇宙비행사,산문,4
라온,여우비,운문,4
권한대행,비의 노래,운문,5
호박벌,황금의 가을,운문,1
초코송이,5분 전 착석,운문,2
목화,단 한 장의 잎으로 단 한 사람을,산문,4
c,껌,운문,1
키위바라,꽃자루,운문,1
라온,민들레,운문,4
휘오름,날갯짓,운문,1
집,그런 사람이 되고 싶다,운문,2
집,성장,운문,1
초코송이,째깍째깍,운문,3
호박벌,개나리꽃,운문,1
백야,"숲, 인간, 부유, 그리고 의지",운문,3
정개,꺾인 꿈을 부여잡고,운문,21
백야,끝내 내게 남는 것,운문,3
정개,후회의 향기,운문,20
냠,냠의 보람찬 산문,산문,1
달걀,별의 물결,운문,1
냠,기억은 빗방울에 맺혀있다,운문,1
권유진,시간,운문,1
냠,여름날,운문,1
서제하,어느날 하루에 갇혀버렸다.,운문,3
서제하,고요한 폭설(暴雪),운문,1
권유진,MSMP,운문,1
백장미,사랑니,운문,8
달걀,빛,운문,2
도담이,비애(悲愛),운문,4
익명,차키를 잃어버린 남자,산문,5
백장미,관계,운문,7
삶은 겨란,살인범의 심장,운문,2
삶은 겨란,탐라의 망아지,운문,2
영원,절망 - 1,운문,2
숲을 헤치며,기억의 끝에서 네 이름을 부른다,산문,6
삼색제비꽃,그것을 꿈꾸지 말라,운문,3
영원,절망 - 2,운문,2
별마롱,빛은 여러 색으로 이루어져 있다,운문,7
별마롱,명,운문,5
unstable_0,금붕어,운문,3
unstable_0,딸기,운문,1
y,독의 꿈,운문,2
눈,버드나무의 눈,운문,2
눈,무엇을 할 것 인가,운문,1
하늘,마시멜로,산문,7
설아,이름 무덤,산문,3
차령터널,"마주치다, 눈빛",운문,1
션,비의 회상,운문,6
단청,부정,운문,2
션,후크선장,운문,6
토ma토,제주도의 푸른밤,산문,3
차령터널,섬진강,운문,2
엔진,세로사회,운문,6
375번째 머리카락,375번째 머리카락의 하르르한 운문,운문,2
엔진,필멸,운문,3
돌멩이,유영한 삶,운문,1
단청,부정확,운문,1
삼색제비꽃,인생의 시야,운문,5
7942,마음 속에 자라나는 이,운문,5
브라키오사우르스,오래된 사탕,운문,3
휘오름,부모님,운문,2
7942,구름은 비를 쏟고 해를 품어,운문,5
돌멩이,나의 세상,운문,2
한국인,비극의 끝에서,산문,3
375번째 머리카락,375번째 머리카락의 하르르한 운문,운문,1
유월,마음,운문,4
이모저모,사랑하는 인간,산문,8
유월,기억,운문,3
하늘을나는핑크색코끼,가로등 밑의 소년,산문,1
